asset_id,asset_service_record_id,service_schedule_segment_id,service_order_number,custom_order_number,order_item_number,certificate_number,result_status,as_found_result,as_left_result,service_date,serial_number,asset_tag,asset_user,service_notes,due_date,next_service_date,provider_technician,provider_company,service_level,next_service_level,asset_name,asset_description,parts_charge,parts_charge_before_discount,service_charge,repairs_charge,segment_name,schedule_name
1235400,6119636,187514,44172,56561-044172,1,56561-044172-01,Done,NotAvailable,NotAvailable,2023-04-24 12:35:00,K201-K214,K200SET,,,2027-11-01,2028-04-24 12:35:00,MC,Field Inspection,,5 Year Calibration,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K201-K214","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235401,6140648,187514,44618,56561-044618,1,56561-044618-01,Done,NotAvailable,NotAvailable,2023-05-22 15:34:04,K801-K816,K800SET,Pyro,,2028-01-06,2028-05-22 15:34:04,Scott Porter,"Johnson Gage and Inspection, Inc.",,5 Year Calibration,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K801-K816","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235402,8128495,187514,73279,56561-073279,1,56561-073279-01,Done,NotAvailable,NotAvailable,2025-04-11 10:04:00,K901-K910,K900SET,Pyro,,2029-07-08,2030-04-11 10:04:00,Matt Coleman,"Johnson Gage and Inspection, Inc.",Calibration,5 Year Calibration,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K901-K910","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,0.0,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235498,4234901,187508,24455,56561-024455,1,K700SET0222,Done,NotAvailable,NotAvailable,2022-02-21 19:23:00,K701-K710,K700SET,,"Entire set made from wire roll 018753D on above date.
TEST TYPE: THERMOCOUPLE WIRESET CALIBRATION. See attached datasheet(s) and supporting documentation. Test Environment and Test Equipment Used are detailed in attached datasheets.",2021-09-30,2022-05-21 19:23:00,Karsten Blyseth,"Johnson Gage and Inspection, Inc.",Calibration,3 Month Calibration,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K701-K710","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,68.0,0.0,3 Month Calibration,JGI Calibration PyroMechanical
1235500,8128420,187514,73271,56561-073271,1,56561-073271-01,Done,Pass,NotAvailable,2025-04-11 09:48:00,K521-K534,K520SET,,,2029-11-14,2030-04-11 09:48:00,Matt Coleman,"Johnson Gage and Inspection, Inc.",Calibration,5 Year Calibration,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K521-K534","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,0.0,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235502,6008756,187514,41783,56561-041783,1,56561-041783-01,Done,NotAvailable,NotAvailable,2023-04-12 15:39:42,J101-J110,J100SET,,,2027-10-12,2028-04-12 15:39:42,Scott Porter,"Johnson Gage and Inspection, Inc.",Calibration,5 Year Calibration,"Thermocouple Wire Set - ""J"" Iron-Constantan - J101-J110","A Type ""J"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,27.5,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235504,6820976,187514,50724,56561-050724,1,56561-050724-01,Done,NotAvailable,NotAvailable,2023-11-06 07:44:02,J501-J514,J500SET,,,2028-07-17,2028-11-06 07:44:02,James Haven,Field Inspection,Calibration,5 Year Calibration,"Thermocouple Wire Set - ""J"" Iron-Constantan - J501-J514","A Type ""J"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,27.5,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235505,7971837,187514,70496,56561-070496,1,56561-070496-01,Done,NotAvailable,NotAvailable,2025-02-20 15:00:00,J111-J120,J111SET,,TEST TYPE: THERMOCOUPLE WIRESET CALIBRATION. See attached datasheet(s) and supporting documentation. Test Environment and Test Equipment Used are detailed in attached datasheets.,2029-10-08,2030-02-20 15:00:00,Joey Knutson,Pyrometry Department,Calibration,5 Year Calibration,"Thermocouple Wire Set - ""J"" Iron-Constantan - J111-J120","A Type ""J"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,75.0,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235506,7162110,187514,57050,56561-057050,1,56561-057050-01,Done,NotAvailable,NotAvailable,2024-04-05 13:01:37,J601-J610,J600SET,,,2028-10-10,2029-04-05 13:01:37,Matt Coleman,Field Inspection,,5 Year Calibration,"Thermocouple Wire Set - ""J"" Iron-Constantan - J601-J610","A Type ""J"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,,0.0,5 Year Calibration,JGI Calibration PyroMechanical
1235507,8085736,187514,72935,56561-072935,1,56561-072935-01,Pass,Pass,Pass,2025-04-18 13:27:00,K401-K416,K400SET,,,2030-01-03,2030-04-18 13:27:00,Ryan Byars,Field Inspection,,5 Year Calibration,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K401-K416","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",0.0,0.0,,0.0,5 Year Calibration,JGI Calibration PyroMechanical
