asset_id,asset_name,asset_description,asset_maker,record_type,parent_asset_id,children_count,site_id,serial_number,asset_tag,asset_user,equipment_id,legacy_identifier,criticality,condition,asset_class,activation_date,retirment_date,client_vendor_id,company_name,site_name,asset_has_image,has_image,parent_has_image,pool_id,pool,product_id,parent_product_id,product_name,parent_product_name,category_id,root_category_id,category_name,root_category_name,manufacturer_id,manufacturer,display_part_number,display_name,manufacturer_part_number,asset_room,location,station,tool_role,tool_id,department_id,department_name,custodian_name,warranty,warranty_end,is_warranty_expired,depreciation_method,depreciation_basis,salvage_value,total_service_cost,life_span_months,due_for_replacement_date,depreciation_proc,purchase_date,purchase_cost,time_in_service,retirement_reason,residual_cost,employee_id,asset_service_record_id,result_status,as_found_result,as_left_result,last_service_date,last_service,next_service_date,next_service,service_schedule_segment_id,service_schedule_id,service_schedule,service_order_id,service_order_status,custom_order_number,service_order_item_id,vendor,technician,certificate_number,due_trigger_date,past_due_trigger_date,due_status,work_status
1235344,Radiometer - PMA2100 - 12799,"Radiometer Model PMA2100 S/N 12799, used with detector Model PMA2110 S/N 012903",Solar Light,1,,0,96552,12799,RAD1,Pyro,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300929,,Solar Light’s versatile NIST-Traceable Model PMA2100 Radiometer is designed for scientific professionals,,1241,1156,Spectroradiometer,,1851,Solar Light,PMA2100,,PMA2100,Pyrometry Field,,,1,27170.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235345,Resistor Calibration Kit - Atlas Ci3000 Weather-Ometer Calibration Kit - RCK1,Atlas Weather-Ometer Ci3000 Calibration Kit; including four plugs with resistors and extension cord.,Atlas,1,,0,96552,RCK1,RCK1,Electrical Dept Calibrates this,,,,,,2016-09-15,,,,Main Location,False,False,False,620646,Pyro,185336,168694.0,Atlas Ci3000 Weather-Ometer/ Fade-Ometer,Atlas Ci3000 Weather-Ometer/ Fade-Ometer,3763,495,Resistance Tester,,3089,Atlas Copco,Ci3000,,Ci3000,Pyrometry Field,,,1,27171.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235388,"Pressure Gage, Digital - Crystal Digital 500PSIXP2I - 355114",A digital pressure gage used for field calibrations from 0-500psi,Crystal,1,,0,96552,355114,PRG3,Pyrometry Dept. Field Standard,,,,,,,,,,Main Location,False,False,False,620646,Pyro,142200,139300.0,Crystal 500PSIXP2i Digital Test Gauge,Crystal XP2i Series Digital Test Gauges,324,320,Digital Vacuum/Pressure Gauge,,2117,Crystal Engineering,500PSIXP2i,,500PSIXP2i,Pyrometry Field,Pressure,,1,27214.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235400,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K201-K214","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,K201-K214,K200SET,,,,,,,2011-10-14,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,Pyro,,1,27226.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235401,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K801-K816","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,K801-K816,K800SET,Pyro,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,Pyro,,1,27227.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235402,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K901-K910","A Type ""K"" Thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,K901-K910,K900SET,Pyro,,,,,,2023-01-12,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyro,,1,27228.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235403,"Calibrator, Digital - Fluke 726 Field Potentiometer - 1611806",Field Calibrator used for testing of Temperature and Electrical instrumentation.,Fluke,1,,0,96552,1611086,FC9,Matt Coleman,,,,,,,,,,Main Location,False,True,False,620646,Pyro,310604,,Multifunction Calibrator,,1519,70,Electrical Calibrator,,566,Fluke,726,,726,Pyrometry Field,Pyro,,1,27229.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235416,ACU-RITE No. 00325 Thermo-Hygrometer,ACU-RITE No. 00325 Thermo-Hygrometer,AcuRite,1,,0,96552,THG4,THG4,Peyton Ensey,,,,,,,,,,Main Location,False,False,False,620646,Pyro,163248,163168.0,Model 00325 Indoor Temperature and Humidity Monitor,Indoor Temperature and Humidity Monitor,116,114,Digital Hygrometer & Thermometer,,3316,AcuRite,00325,,00325,Dimensional South,South Dimensional Lab - Peyton Ensey,,1,27242.0,2272.0,Dimensional Laboratory - South,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235426,Data Acquisition System - DAQBOOK/2005,"DaqBook 2005, with connections for 40 type ""J"" thermocouples.",IOtech,1,,0,96552,807408,J1,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27252.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235428,"Sportline 228 Stopwatch, Timer (KB)","Sportline 228 Stopwatch, Timer (KB)",Sportline,1,,0,96552,T16,T16,Pyrometry - Karsten Blyseth,,,,,,2016-07-06,,,,Main Location,False,False,False,620646,Pyro,163250,79434.0,Sportline 228 Stopwatch,Stopwatch,113,95,Stopwatch,,2219,Sportline,228,,228,Pyrometry Field,Pyrometry - Karsten Blyseth,,1,27254.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
